number,kanji,kanji,pronunciation,example,comments
1044,臣,臣,"シン ジン","臣下，君臣大臣",,
1045,芯,芯,シン,芯,,
1046,身,身,"シン み","身体，単身，等身大身，身内，親身",,
1047,辛,辛,"シン からい","辛苦，辛酸，香辛料辛い，辛み，辛うじて",,
1048,侵,侵,"シン おかす","侵入，侵害，不可侵侵す",⇔犯す，冒す,
1049,信,信,シン,信用，信頼，通信,,
1050,津,津,"シン つ","興味津々津波，津々浦々",,
1051,神（神）,神（神）,"シン ジン かみ  かん  こう","神聖，神経，精神神社，神宮，神通力神，神様，貧乏神神主神々しい","お神酒（みき）神楽（かぐら）神奈川（かながわ）県",
1052,唇,唇,"シン くちびる","口唇唇",,
1053,娠,娠,シン,妊娠,,
1054,振,振,"シン ふる ふるう ふれる","振動，振興，不振振る，振り振るう振れる",⇔奮う，震う,
1055,浸,浸,"シン ひたす ひたる","浸水，浸透浸す，水浸し浸る",,
1056,真（眞）,真（眞）,"シン ま","真偽，写真，純真真南，真新しい，真っ先，真ん中","真面目（まじめ）真っ赤（まっか）真っ青（まっさお）",
1057,針,針,"シン はり","針路，運針，秒針針，針金",,
1058,深,深,"シン ふかい ふかまる ふかめる","深山，深夜，水深深い，深入り，深み深まる深める",,
1059,紳,紳,シン,紳士,,
1060,進,進,"シン すすむ すすめる","進級，進言，前進進む，進み進める",⇔勧める，薦める,
1061,森,森,"シン もり","森林，森閑，森厳森",,
1062,診,診,"シン みる","診察，診療，往診診る",⇔見る,
1063,寝（寢）,寝（寢）,"シン ねる ねかす","寝室，寝具，就寝寝る，寝入る，昼寝寝かす",,
1064,慎（愼）,慎（愼）,"シン つつしむ","慎重，謹慎慎む，慎み",⇔謹む,
1065,新,新,"シン あたらしい あらた にい","新旧，新聞，革新新しい，新しさ，新しがる新ただ新妻，新盆",,
1066,審,審,シン,審判，審議，不審,,
1067,震,震,"シン ふるう ふるえる","震動，震災，地震震う，身震い震える，震え",⇔奮う，振るう,
1068,薪,薪,"シン たきぎ","薪炭，薪水薪",,
1069,親,親,"シン おや したしい したしむ","親族，親友，肉親親，親子，父親親しい，親しさ親しむ",,
1070,人,人,"ジン ニン ひと","人道，人員，成人人間，人情，人形人，人手，旅人","玄人（くろうと）素人（しろうと）仲人（なこうど）若人（わこうど）大人（おとな）一人（ひとり）二人（ふたり）",
1071,刃,刃,"ジン は","白刃，凶刃，自刃刃，刃物，両刃",,
1072,仁,仁,"ジン  ニ","仁義，仁術仁王",,
1073,尽（盡）,尽（盡）,"ジン つくす つきる つかす","尽力，無尽蔵尽くす，心尽くし尽きる愛想を尽かす",,
1074,迅,迅,ジン,迅速，疾風迅雷,,
1075,甚,甚,"ジン はなはだ はなはだしい","甚大，激甚，幸甚甚だ甚だしい",,
1076,陣,陣,ジン,陣頭，陣痛，円陣,,
1077,尋,尋,"ジン たずねる","尋問，尋常，千尋尋ねる，尋ね人",⇔訪ねる,
1078,腎,腎,ジン,腎臓，肝腎,「肝腎」は，「肝心」とも書く。,
1079,須,須,ス,必須,,
1080,図（圖）,図（圖）,"ズ ト はかる","図画，図表，地図図書，意図，壮図図る",⇔計る，測る，量る，謀る,
1081,水,水,"スイ みず","水分，水陸，海水水，水色，水浴び",清水（しみず）,
1082,吹,吹,"スイ ふく","吹奏，吹鳴，鼓吹吹く","息吹（いぶき）吹雪（ふぶき）⇔噴く",
1083,垂,垂,"スイ たれる たらす","垂直，懸垂，胃下垂垂れる，雨垂れ垂らす",,
1084,炊,炊,"スイ たく","炊事，自炊，雑炊炊く，飯炊き",,
1085,帥,帥,スイ,統帥，元帥,,
1086,粋（粹）,粋（粹）,"スイ いき","粋人，純粋，精粋粋",,
1087,衰,衰,"スイ おとろえる","衰弱，盛衰，老衰衰える，衰え",,
1088,推,推,"スイ おす","推進，推薦推す",⇔押す,
1089,酔（醉）,酔（醉）,"スイ よう","酔漢，麻酔，心酔酔う，酔い，二日酔い",,
1090,遂,遂,"スイ とげる","遂行，未遂，完遂遂げる",,
1091,睡,睡,スイ,睡眠，熟睡，午睡,,
1092,穂（穗）,穂（穗）,"スイ ほ","穂状，出穂期穂，稲穂",,
1093,随（隨）,随（隨）,ズイ,随行，随意，追随,,
1094,髄（髓）,髄（髓）,ズイ,骨髄，脳髄，真髄,,
1095,枢（樞）,枢（樞）,スウ,枢軸，枢要，中枢,,
1096,崇,崇,スウ,崇拝，崇高,,
1097,数（數）,数（數）,"スウ  ス かず かぞえる","数字，数量，年数人数数数える，数え年","数珠（じゅず）数寄屋・数奇屋（すきや）「人数」は，「ニンズウ」とも。",
1098,据,据,"すえる すわる","据える，据え置く据わる，据わり",⇔座る,
1099,杉,杉,すぎ,杉，杉並木,,
1100,裾,裾,すそ,裾，裾野,,
1101,寸,寸,スン,寸法，寸暇，一寸先,,
1102,瀬（瀨）,瀬（瀨）,せ,瀬，浅瀬，立つ瀬,,
1103,是,是,ゼ,是非，是認，国是,,
1104,井,井,"セイ  ショウ い","油井，市井天井井戸",,
1105,世,世,"セイ セ よ","世紀，時世，処世世界，世間，出世世，世の中",,
1106,正,正,"セイ ショウ ただしい ただす まさ","正義，正誤，訂正正直，正面，正月正しい，正しさ正す正に，正夢",,
1107,生,生,"セイ ショウ いきる いかす いける うまれる うむ おう はえる はやす き なま","生活，発生，先生生滅，一生，誕生生きる，長生き生かす生ける，生け捕り生まれる，生まれ生む生い立ち，生い茂る生える，芽生える生やす生糸，生地，生一本生の野菜，生水，生々しい","芝生（しばふ）弥生（やよい）⇔産まれる⇔産む",
1108,成,成,"セイ  ジョウ なる なす","成功，完成，賛成成就，成仏成る，成り立つ成す，成し遂げる",,
1109,西,西,"セイ サイ にし","西暦，西部，北西西国，東西西，西日",,
1110,声（聲）,声（聲）,"セイ  ショウ こえ  こわ","声楽，声援，名声大音声声，呼び声，歌声声色",,
1111,制,制,セイ,制度，制限，統制,,
1112,姓,姓,"セイ ショウ","姓名，改姓，同姓百姓",,
1113,征,征,セイ,征服，遠征，出征,,
1114,性,性,"セイ ショウ","性質，理性，男性性分，相性，根性",,
1115,青,青,"セイ  ショウ あお あおい","青天，青銅，青年緑青，紺青，群青青，青ざめる青い，青さ",真っ青（まっさお）,
1116,斉（齊）,斉（齊）,セイ,斉唱，一斉,,
1117,政,政,"セイ  ショウ まつりごと","政治，行政，家政摂政政",,
1118,星,星,"セイ  ショウ ほし","星座，流星，衛星明星星，黒星",,
1119,牲,牲,セイ,犠牲,,
1120,省,省,"セイ ショウ かえりみる はぶく","反省，内省，帰省省略，各省省みる省く",⇔顧みる,
1121,凄,凄,セイ,凄惨，凄絶,,
1122,逝,逝,"セイ ゆく いく","逝去，急逝，長逝逝く逝く","⇔行く⇔行く",
1123,清,清,"セイ  ショウ きよい きよまる きよめる","清潔，清算，粛清六根清浄清い，清らかだ清まる清める",清水（しみず）,
1124,盛,盛,"セイ  ジョウ もる さかる さかん","盛大，隆盛，全盛繁盛盛る，盛り上がる燃え盛る，盛り，花盛り盛んだ，盛んに",,
1125,婿,婿,"セイ むこ","女婿婿，花婿",,
1126,晴,晴,"セイ はれる はらす","晴天，晴雨，快晴晴れる，晴れ，晴れやかだ晴らす，気晴らし",,
1127,勢,勢,"セイ いきおい","勢力，優勢，情勢勢い",,
1128,聖,聖,セイ,聖書，聖人，神聖,,
1129,誠,誠,"セイ まこと","誠実，誠意，至誠誠，誠に",,
1130,精,精,"セイ  ショウ","精米，精密，精力精進，不精",,
1131,製,製,セイ,製造，製鉄，鉄製,,
1132,誓,誓,"セイ ちかう","誓約，誓詞，宣誓誓う，誓い",,
1133,静（靜）,静（靜）,"セイ  ジョウ しず しずか しずまる しずめる","静止，静穏，安静静脈静々と，静けさ静かだ静まる静める","⇔鎮まる⇔鎮める，沈める",
1134,請,請,"セイ  シン こう うける","請求，請願，申請普請請う請ける，請負，下請け","⇔乞う⇔受ける",
1135,整,整,"セイ ととのえる ととのう","整理，整列，調整整える整う","⇔調える⇔調う",
1136,醒,醒,セイ,覚醒,,
1137,税,税,ゼイ,税金，免税，関税,,
1138,夕,夕,"セキ ゆう","今夕，一朝一夕夕方，夕日，夕べ",七夕（たなばた）,
1139,斥,斥,セキ,斥候，排斥,,
1140,石,石,"セキ  シャク  コク いし","石材，岩石，宝石磁石石高，千石船石，小石",,
1141,赤,赤,"セキ  シャク あか あかい あからむ あからめる","赤道，赤貧，発赤赤銅赤，赤字，赤ん坊赤い赤らむ赤らめる",真っ赤（まっか）,
1142,昔,昔,"セキ  シャク むかし","昔日，昔年，昔時今昔昔，昔話",,
1143,析,析,セキ,析出，分析，解析,,
1144,席,席,セキ,席上，座席，出席,寄席（よせ）,
1145,脊,脊,セキ,脊髄，脊柱,,
1146,隻,隻,セキ,隻手，数隻,,
1147,惜,惜,"セキ おしい おしむ","惜敗，痛惜，愛惜惜しい惜しむ，負け惜しみ",,
1148,戚,戚,セキ,親戚,,
1149,責,責,"セキ せめる","責務，責任，職責責める，責め",,
1150,跡,跡,"セキ あと","追跡，旧跡，遺跡跡，足跡，屋敷跡",⇔後，痕,
1151,積,積,"セキ つむ つもる","積雪，蓄積，面積積む，下積み積もる，見積書",,
1152,績,績,セキ,紡績，成績，業績,,
1153,籍,籍,セキ,書籍，戸籍，本籍,,
1154,切,切,"セツ  サイ きる きれる","切断，親切，切に一切切る切れる",⇔斬る,
1155,折,折,"セツ おる おり おれる","折衷，折衝，屈折折る，折り紙，折り箱折，……する折折れる，名折れ",,
1156,拙,拙,"セツ つたない","拙劣，拙速，巧拙拙い",,
1157,窃（竊）,窃（竊）,セツ,窃盗，窃取,,
1158,接,接,"セツ つぐ","接触，接待，直接接ぐ，接ぎ木，骨接ぎ",⇔継ぐ,
1159,設,設,"セツ もうける","設立，設備，建設設ける",,
1160,雪,雪,"セツ ゆき","雪辱，降雪，積雪雪，雪解け，初雪","雪崩（なだれ）吹雪（ふぶき）",
1161,摂（攝）,摂（攝）,セツ,摂取，摂生,,
1162,節（節）,節（節）,"セツ  セチ ふし","節約，季節，関節お節料理節，節穴",,
1163,説,説,"セツ  ゼイ とく","説明，小説，演説遊説説く",,
1164,舌,舌,"ゼツ した","舌端，弁舌，筆舌舌，猫舌，二枚舌",,
1165,絶,絶,"ゼツ たえる たやす たつ","絶妙，絶食，断絶絶える絶やす絶つ",⇔裁つ，断つ,
1166,千,千,"セン ち","千円，千人力，千差万別千草，千々に",,
1167,川,川,"セン かわ","川柳，河川川，川岸，小川","川原（かわら）⇔河",
1168,仙,仙,セン,仙骨，仙人，酒仙,,
1169,占,占,"セン しめる うらなう","占拠，占星術，独占占める，買い占め占う，占い",,
1170,先,先,"セン さき","先方，先生，率先先，先立つ",,
1171,宣,宣,セン,宣言，宣誓，宣伝,,
1172,専（專）,専（專）,"セン もっぱら","専門，専属，専用専ら",,
1173,泉,泉,"セン いずみ","泉水，源泉，温泉泉",,
1174,浅（淺）,浅（淺）,"セン あさい","浅薄，浅学，深浅浅い，浅瀬，遠浅",,
1175,洗,洗,"セン あらう","洗面，洗練，洗剤洗う",,
1176,染,染,"セン そめる そまる しみる しみ","染色，染料，汚染染める，染め物染まる染みる，油染みる染み，染み抜き",,
1177,扇,扇,"セン おうぎ","扇子，扇風機，扇状地扇，舞扇",,
1178,栓,栓,セン,栓，給水栓，消火栓,,
1179,旋,旋,セン,旋回，旋律，周旋,,
1180,船,船,"セン ふね  ふな","船舶，乗船，汽船船，大船，親船船旅，船賃",⇔舟,
1181,戦（戰）,戦（戰）,"セン いくさ たたかう","戦争，苦戦，論戦戦，勝ち戦戦う，戦い",⇔闘う,
1182,煎,煎,"セン いる","煎茶煎る，煎り豆",＊［（付）第２の３参照］,
1183,羨,羨,"セン うらやむ うらやましい","羨望羨む羨ましい",,
1184,腺,腺,セン,前立腺，涙腺,,
1185,詮,詮,セン,詮索，所詮,＊［（付）第２の３参照］,
1186,践（踐）,践（踐）,セン,実践,,
1187,箋,箋,セン,処方箋，便箋,＊［（付）第２の３参照］,
1188,銭（錢）,銭（錢）,"セン ぜに","銭湯，金銭銭，銭入れ，小銭",,
1189,潜（潛）,潜（潛）,"セン ひそむ もぐる","潜水，潜在的，沈潜潜む潜る，潜り込む",,
1190,線,線,セン,線路，点線，光線,,
1191,遷,遷,セン,遷延，遷都，変遷,,
1192,選,選,"セン えらぶ","選択，選挙，当選選ぶ",,
1193,薦,薦,"セン すすめる","推薦，自薦薦める",⇔進める，勧める,
1194,繊（纖）,繊（纖）,セン,繊細，繊維，化繊,,
1195,鮮,鮮,"セン あざやか","鮮魚，鮮明，新鮮鮮やかだ",,
1196,全,全,"ゼン まったく すべて","全部，全国，完全全く，全うする全て",,
1197,前,前,"ゼン まえ","前後，以前，空前前，前向き，名前",,
1198,善,善,"ゼン よい","善悪，善処，慈善善い",⇔良い,
1199,然,然,"ゼン ネン","当然，自然，必然天然",,
1200,禅（禪）,禅（禪）,ゼン,禅宗，禅寺，座禅,,
1201,漸,漸,ゼン,漸次，漸進的，東漸,,
1202,膳,膳,ゼン,膳，配膳,,
1203,繕,繕,"ゼン つくろう","修繕，営繕繕う，繕い",,
1204,狙,狙,"ソ ねらう","狙撃狙う，狙い",,
1205,阻,阻,"ソ はばむ","阻止，阻害，険阻阻む",,
1206,祖（祖）,祖（祖）,ソ,祖父，祖述，元祖,,
1207,租,租,ソ,租税，公租公課,,
1208,素,素,"ソ ス","素材，元素，平素素顔，素手，素性",素人（しろうと）,
1209,措,措,ソ,措置，措辞，挙措,,
1210,粗,粗,"ソ あらい","粗密，粗野，精粗粗い",⇔荒い,
1211,組,組,"ソ くむ くみ","組織，組成，改組組む，組み込む組，組長，赤組",,
1212,疎,疎,"ソ うとい うとむ","疎密，疎外，親疎疎い疎む，疎ましい",,
1213,訴,訴,"ソ うったえる","訴訟，告訴，哀訴訴える，訴え",,
1214,塑,塑,ソ,塑像，彫塑，可塑性,,
1215,遡［遡］,遡［遡］,"ソ さかのぼる","遡及，遡上遡る","［遡］＝許容字体，＊［（付）第２の１参照］",
1216,礎,礎,"ソ いしずえ","礎石，基礎，定礎礎",,
1217,双（雙）,双（雙）,"ソウ ふた","双肩，双方，無双双子，双葉",⇔二,
1218,壮（壯）,壮（壯）,ソウ,壮大，壮健，強壮,,
1219,早,早,"ソウ  サッ はやい はやまる はやめる","早朝，早晩，早々に早速，早急早い，早口，素早い早まる早める","早乙女（さおとめ）早苗（さなえ）⇔速い⇔速まる⇔速める",
1220,争（爭）,争（爭）,"ソウ あらそう","争議，競争，紛争争う，争い",,
1221,走,走,"ソウ はしる","走行，競走，滑走走る，先走る",師走（しわす）,
1222,奏,奏,"ソウ かなでる","奏楽，演奏，合奏奏でる",,
1223,相,相,"ソウ ショウ あい","相当，相談，真相首相，宰相相手，相宿",相撲（すもう）,
1224,荘（莊）,荘（莊）,ソウ,荘厳，荘重，別荘,,
1225,草,草,"ソウ くさ","草案，雑草，牧草草，草花，語り草",草履（ぞうり）,
1226,送,送,"ソウ おくる","送別，放送，運送送る，見送り",⇔贈る,
1227,倉,倉,"ソウ くら","倉庫，穀倉倉，倉敷料",⇔蔵,
1228,捜（搜）,捜（搜）,"ソウ さがす","捜索，捜査捜す",⇔探す,
1229,挿（插）,挿（插）,"ソウ さす","挿入，挿話挿す，挿絵，挿し木",⇔差す，刺す，指す,
1230,桑,桑,"ソウ くわ","桑園桑，桑畑",,
1231,巣（巢）,巣（巢）,"ソウ す","営巣，卵巣，病巣巣，巣箱，巣立つ",,
1232,掃,掃,"ソウ はく","掃除，清掃，一掃掃く",,
1233,曹,曹,ソウ,法曹，法曹界，陸曹,,
1234,曽（曾）,曽（曾）,"ソウ  ゾ","曽祖父，曽孫未曽有",,
1235,爽,爽,"ソウ さわやか","爽快爽やかだ",,
1236,窓,窓,"ソウ まど","車窓，同窓，深窓窓，窓口，出窓",,
1237,創,創,"ソウ つくる","創造，独創，刀創創る",⇔作る，造る,
1238,喪,喪,"ソウ も","喪失喪，喪服，喪主",,
1239,痩（瘦）,痩（瘦）,"ソウ やせる","痩身痩せる",,
1240,葬,葬,"ソウ ほうむる","葬儀，埋葬，会葬葬る",,
1241,装（裝）,装（裝）,"ソウ ショウ よそおう","装置，服装，変装装束，衣装装う，装い",,
1242,僧（僧）,僧（僧）,ソウ,僧院，高僧，尼僧,,
1243,想,想,"ソウ  ソ","想像，感想，予想愛想",,
1244,層（層）,層（層）,ソウ,層雲，高層，断層,,
1245,総（總）,総（總）,ソウ,総合，総意，総括,,
1246,遭,遭,"ソウ あう","遭遇，遭難遭う",⇔合う，会う,
1247,槽,槽,ソウ,水槽，浴槽,,
1248,踪,踪,ソウ,失踪,,
1249,操,操,"ソウ みさお あやつる","操縦，操作，節操操操る，操り人形",,
1250,燥,燥,ソウ,乾燥，焦燥，高燥,,
1251,霜,霜,"ソウ しも","霜害，晩霜霜，霜柱，初霜",,
1252,騒（騷）,騒（騷）,"ソウ さわぐ","騒動，騒音，物騒騒ぐ，騒ぎ，騒がしい",,
1253,藻,藻,"ソウ も","藻類，海藻，詞藻藻",,
1254,造,造,"ゾウ つくる","造船，造花，構造造る",⇔作る，創る,
1255,像,像,ゾウ,肖像，現像，想像,,
1256,増（增）,増（增）,"ゾウ ます ふえる ふやす","増減，増加，激増増す，水増し増える増やす","⇔殖える⇔殖やす",
1257,憎（憎）,憎（憎）,"ゾウ にくむ にくい にくらしい にくしみ","憎悪，愛憎憎む憎い，憎さ憎らしい憎しみ",,
1258,蔵（藏）,蔵（藏）,"ゾウ くら","蔵書，貯蔵，土蔵蔵，酒蔵",⇔倉,
1259,贈（贈）,贈（贈）,"ゾウ  ソウ おくる","贈与，贈呈，贈答寄贈贈る，贈り物","「寄贈」は，「キゾウ」とも。⇔送る",
1260,臓（臟）,臓（臟）,ゾウ,臓器，内臓，心臓,,
1261,即（卽）,即（卽）,ソク,即応，即席，即興,,
1262,束,束,"ソク たば","束縛，結束，約束束，花束，束ねる",,
1263,足,足,"ソク あし たりる たる たす","足跡，遠足，補足足，足音，素足足りる舌足らず足す","足袋（たび）⇔脚",
1264,促,促,"ソク うながす","促進，促成，催促促す",,
1265,則,則,ソク,法則，鉄則，変則,,
1266,息,息,"ソク いき","休息，消息，子息息，息巻く，吐息","息吹（いぶき）息子（むすこ）",
1267,捉,捉,"ソク とらえる","捕捉捉える",⇔捕らえる,
1268,速,速,"ソク はやい はやめる はやまる すみやか","速度，敏速，時速速い，速さ速める速まる速やかだ","⇔早い⇔早める⇔早まる",
1269,側,側,"ソク がわ","側面，側近，側壁側，裏側，片側",「かわ」とも。,
1270,測,測,"ソク はかる","測量，目測，推測測る",⇔計る，量る，図る,
1271,俗,俗,ゾク,俗事，風俗，民俗,,
1272,族,族,ゾク,一族，家族，民族,,
1273,属（屬）,属（屬）,ゾク,属性，従属，金属,,
1274,賊,賊,ゾク,賊軍，盗賊,,
1275,続（續）,続（續）,"ゾク つづく つづける","続出，続行，連続続く，続き続ける",,
1276,卒,卒,ソツ,卒業，卒中，兵卒,,
1277,率,率,"ソツ リツ ひきいる","率先，引率，軽率比率，能率，百分率率いる",,
1278,存,存,"ソン ゾン","存在，存続，既存存分，保存，存じます",,
1279,村,村,"ソン むら","村長，村落，農村村，村里，村芝居",,
1280,孫,孫,"ソン まご","子孫，嫡孫孫",,
1281,尊,尊,"ソン たっとい とうとい たっとぶ とうとぶ","尊敬，尊大，本尊尊い尊い尊ぶ尊ぶ","⇔貴い⇔貴い⇔貴ぶ⇔貴ぶ",
1282,損,損,"ソン そこなう そこねる","損失，欠損，破損損なう，見損なう損ねる",,
1283,遜［遜］,遜［遜］,ソン,謙遜，不遜,"［遜］＝許容字体，＊［（付）第２の１参照］",
1284,他,他,"タ ほか","他国，自他，排他的他，○○の他",⇔外,
1285,多,多,"タ おおい","多少，多数，雑多多い",,
1286,汰,汰,タ,沙汰,,
1287,打,打,"ダ うつ","打撃，打破，乱打打つ",⇔撃つ，討つ,
1288,妥,妥,ダ,妥当，妥結，妥協,,
1289,唾,唾,"ダ つば","唾液，唾棄唾，眉唾","固唾（かたず）「唾」は，「つばき」とも。",
1290,堕（墮）,堕（墮）,ダ,堕落,,
1291,惰,惰,ダ,惰眠，惰気，怠惰,,
1292,駄,駄,ダ,駄菓子，駄作，無駄,,
1293,太,太,"タイ タ ふとい ふとる","太陽，太鼓，皇太子丸太太い太る",太刀（たち）,
1294,対（對）,対（對）,"タイ ツイ","対立，絶対，反対対句，一対",,
1295,体（體）,体（體）,"タイ テイ からだ","体格，人体，主体体裁，風体体，体つき",,
1296,耐,耐,"タイ たえる","耐久，耐火，忍耐耐える",⇔堪える,
1297,待,待,"タイ まつ","待機，待遇，期待待つ，待ち遠しい",,
1298,怠,怠,"タイ おこたる なまける","怠惰，怠慢怠る怠ける，怠け者",,
1299,胎,胎,タイ,胎児，受胎，母胎,,
1300,退,退,"タイ しりぞく しりぞける","退却，退屈，進退退く退ける",立ち退く（たちのく）,
1301,帯（帶）,帯（帶）,"タイ おびる おび","携帯，地帯，連帯帯びる帯，角帯",,
1302,泰,泰,タイ,泰然，泰斗，安泰,,
1303,堆,堆,タイ,堆積,,
1304,袋,袋,"タイ ふくろ","風袋，郵袋袋，紙袋",足袋（たび）,
1305,逮,逮,タイ,逮捕，逮夜,,
1306,替,替,"タイ かえる かわる","代替替える，両替替わる","為替（かわせ）⇔換える，代える，変える⇔換わる，代わる，変わる",
1307,貸,貸,"タイ かす","貸借，貸与，賃貸貸す，貸し",,
1308,隊,隊,タイ,隊列，軍隊，部隊,,
1309,滞（滯）,滞（滯）,"タイ とどこおる","滞在，滞貨，沈滞滞る",,
1310,態,態,タイ,態勢，形態，容態,,
1311,戴,戴,タイ,戴冠，頂戴,,
1312,大,大,"ダイ タイ おお おおきい おおいに","大小，大胆，拡大大衆，大した，大して大型，大通り，大水大きい，大きさ，大きな大いに","大人（おとな）大和（やまと）",
1313,代,代,"ダイ タイ かわる かえる よ しろ","代理，世代，現代代謝，交代代わる，代わり代える代，神代代物，苗代","⇔換わる，替わる，変わる⇔換える，替える，変える",
1314,台（臺）,台（臺）,"ダイ タイ","台地，灯台，一台台風，舞台",,
1315,第,第,ダイ,第一，第三者，及第,,
1316,題,題,ダイ,題名，問題，出題,,
1317,滝（瀧）,滝（瀧）,たき,滝，滝つぼ,,
1318,宅,宅,タク,宅地，自宅，帰宅,,
1319,択（擇）,択（擇）,タク,選択，採択，二者択一,,
1320,沢（澤）,沢（澤）,"タク さわ","光沢，潤沢沢",,
1321,卓,卓,タク,卓越，卓球，食卓,,
1322,拓,拓,タク,拓本，開拓,,
1323,託,託,タク,託宣，委託，結託,,
1324,濯,濯,タク,洗濯,,
1325,諾,諾,ダク,諾否，承諾，快諾,,
1326,濁,濁,"ダク にごる にごす","濁流，濁音，清濁濁る，濁り濁す",,
1327,但,但,ただし,但し，但し書き,,
1328,達,達,タツ,達人，調達，伝達,友達（ともだち）,
1329,脱,脱,"ダツ ぬぐ ぬげる","脱衣，脱出，虚脱脱ぐ脱げる",,
1330,奪,奪,"ダツ うばう","奪回，奪取，争奪奪う，奪い取る",,
1331,棚,棚,たな,棚，戸棚，大陸棚,,
1332,誰,誰,だれ,誰,,
1333,丹,丹,タン,丹念，丹精,,
1334,旦,旦,"タン ダン","一旦，元旦旦那",,
1335,担（擔）,担（擔）,"タン かつぐ になう","担当，担架，負担担ぐ担う",,
1336,単（單）,単（單）,タン,単独，単位，簡単,,
1337,炭,炭,"タン すみ","炭鉱，木炭，石炭炭，炭火，消し炭",,
1338,胆（膽）,胆（膽）,タン,大胆，落胆，魂胆,,
1339,探,探,"タン さぐる さがす","探求，探訪，探知探る，探り探す",⇔捜す,
1340,淡,淡,"タン あわい","淡水，濃淡，冷淡淡い，淡雪",,
1341,短,短,"タン みじかい","短歌，短所，長短短い",,
1342,嘆（嘆）,嘆（嘆）,"タン なげく なげかわしい","嘆息，嘆願，驚嘆嘆く，嘆き嘆かわしい",,
1343,端,端,"タン はし は はた","端正，末端，極端端，片端端数，半端，軒端端，川端，道端",,
1344,綻,綻,"タン ほころびる","破綻綻びる",,
1345,誕,誕,タン,誕生，生誕,,
1346,鍛,鍛,"タン きたえる","鍛錬鍛える，鍛え方",鍛冶（かじ）,
1347,団（團）,団（團）,"ダン  トン","団結，団地，集団布団",,
1348,男,男,"ダン ナン おとこ","男子，男女，男性長男，美男，善男善女男，男らしい",,
1349,段,段,ダン,段落，階段，手段,,
1350,断（斷）,断（斷）,"ダン たつ ことわる","断絶，断定，判断断つ，塩断ち断る，断り",⇔裁つ，絶つ,
1351,弾（彈）,弾（彈）,"ダン ひく はずむ たま","弾力，弾圧，爆弾弾く，弾き手弾む，弾み弾","⇔引く⇔玉，球",
1352,暖,暖,"ダン あたたか あたたかい あたたまる あたためる","暖流，暖房，温暖暖かだ暖かい暖まる暖める","⇔温か⇔温かい⇔温まる⇔温める",
1353,談,談,ダン,談話，談判，相談,,
1354,壇,壇,"ダン  タン","壇上，花壇，文壇土壇場",,
1355,地,地,"チ ジ","地下，天地，境地地面，地震，地元","心地（ここち）意気地（いくじ）",
1356,池,池,"チ いけ","貯水池，電池池，古池",,
1357,知,知,"チ しる","知識，知人，通知知る，物知り",,
1358,値,値,"チ ね あたい","価値，数値，絶対値値，値段値，値する",⇔価,
1359,恥,恥,"チ はじる はじ はじらう はずかしい","恥辱，無恥，破廉恥恥じる，恥じ入る恥，生き恥恥じらう，恥じらい恥ずかしい",,
1360,致,致,"チ いたす","誘致，合致，風致致す",,
1361,遅（遲）,遅（遲）,"チ おくれる おくらす おそい","遅延，遅刻，遅速遅れる，遅れ遅らす遅い，遅咲き",⇔後れる,
1362,痴（癡）,痴（癡）,チ,痴情，愚痴,,
1363,稚,稚,チ,稚魚，稚拙，幼稚,稚児（ちご）,
1364,置,置,"チ おく","位置，放置，処置置く",,
1365,緻,緻,チ,緻密，精緻,,
1366,竹,竹,"チク たけ","竹林，竹馬の友，爆竹竹，竹やぶ，さお竹",竹刀（しない）,
1367,畜,畜,チク,畜産，牧畜，家畜,,
1368,逐,逐,チク,逐次，逐一，駆逐,,
1369,蓄,蓄,"チク たくわえる","蓄積，蓄電池，貯蓄蓄える，蓄え",,
1370,築,築,"チク きずく","築港，建築，改築築く，築き上げる",築山（つきやま）,
1371,秩,秩,チツ,秩序,,
1372,窒,窒,チツ,窒息，窒素,,
1373,茶,茶,"チャ サ","茶色，茶番劇，番茶茶菓，茶話会，喫茶",,
1374,着,着,"チャク  ジャク きる きせる つく つける","着用，着手，土着愛着，執着着る，着物，晴れ着着せる，お仕着せ着く，船着き場着ける","「愛着」，「執着」は，「アイチャク」，「シュウチャク」とも。⇔付く，就く⇔付ける，就ける",
1375,嫡,嫡,チャク,嫡子，嫡流,,
1376,中,中,"チュウ  ジュウ なか","中央，中毒，胸中○○中中，中庭，真ん中",⇔仲,
1377,仲,仲,"チュウ なか","仲介，仲裁，伯仲仲，仲間","仲人（なこうど）⇔中",
1378,虫（蟲）,虫（蟲）,"チュウ むし","虫類，幼虫，害虫虫，毛虫",,
1379,沖,沖,"チュウ おき","沖積層，沖天，沖する沖",,
1380,宙,宙,チュウ,宙返り，宇宙,,
1381,忠,忠,チュウ,忠実，忠勤，誠忠,,
1382,抽,抽,チュウ,抽出，抽象,,
1383,注,注,"チュウ そそぐ","注入，注意，発注注ぐ",,
1384,昼（晝）,昼（晝）,"チュウ ひる","昼夜，昼食，白昼昼，昼寝，真昼",,
1385,柱,柱,"チュウ はしら","支柱，円柱，電柱柱，帆柱，大黒柱",,
1386,衷,衷,チュウ,衷心，折衷，苦衷,,
1387,酎,酎,チュウ,焼酎,,
1388,鋳（鑄）,鋳（鑄）,"チュウ いる","鋳造，鋳鉄，改鋳鋳る，鋳物，鋳型",,
1389,駐,駐,チュウ,駐車，駐在，進駐,,
